#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
001872948-04 001872948 04  74.27049759 191.47125502    10.6426      46.0   9.5856    2.758   3.567  7710 3.649    0.44067 0.007087   29.94      6.9    207.440
001872948-05 001872948 05 123.69894579 222.28354746     9.9814      56.9   7.0324    3.067   3.567  7710 3.649    0.61917 0.007879   68.62      6.6    105.073
001872948-06 001872948 06  10.00321082 141.03757817     9.8704      21.8   5.6042    1.894   3.567  7710 3.649    0.11579 0.004867    6.99      7.4   3004.656
001872948-07 001872948 07  47.20816091 135.58529329    10.3015      80.1   3.3644    3.718   3.567  7710 3.649    0.32577 0.009551   48.75      7.8    379.569
001872948-08 001872948 08  94.08817571 219.01643758    12.2353      63.4   9.3304    3.258   3.567  7710 3.649    0.51593 0.008369   37.93      6.9    151.333
001873513-01 001873513 01   3.29042457 133.57007207   200.4341   13454.2   1.7825    5.005   0.427  3386 4.810    0.03267 0.107424   14.18    204.1     20.118
001873543-01 001873543 01 411.56427572 344.89405543     9.9762    1190.5   3.6639    2.295   0.600  3850 4.662    0.91500 0.035045  588.00      8.1      0.085
001873543-02 001873543 02 304.00599812 206.63004085     9.3894     690.6  10.5726    1.518   0.600  3850 4.662    0.74769 0.023179  221.50      6.5      0.127
001873918-01 001873918 01 528.70011685 281.22013908    17.1715    6845.9   2.1896   15.529   1.018  6002 4.414    1.27156 0.139791 1010.30      9.1      0.745
001873918-02 001873918 02 467.92694317 131.71686878    26.0596    7453.4   9.3178    9.879   1.018  6002 4.414    1.17214 0.088933  272.54     23.5      0.877
